text,health rating,,,,,,,,,,,,,,,
listening to cough syrup with the top of my car down >>,1,,,,,,,,,,,,,,,
I will and I'll purposely cough on you,1,,,,,,,,,,,,,,,
Remember when you had a small cough and thought you had the coronavirus?! Yea yuh dramatic dummy. You good ent?,1,,,,,,,,,,,,,,,
"Since these officials obviously believe there's no danger, I assume they won't mind if we visit them at their offices and cough on them. Right?",0,,,,,,,,,,,,,,,
Oh right. That’s forever!! I was kinda waiting for it to develop into a fully fledged bug but it went nowhere. Really odd. Sounds a bit similar though I didn’t have a cough.,3,,,,,,,,,,,,,,,
Mixed with a cough,3,,,,,,,,,,,,,,,
I'm not!,0,,,,,,,,,,,,,,,
"To help us make informed decisions about restrictions & slow the spread of coronavirus, testing has been widened to include anyone who’s showing mild flu-like symptoms, has a sore throat, a runny nose, a cough or a cold. Get tested today and save lives. http://coronavirus.vic.gov.au pic.twitter.com/S2rbMiPmWj",0,,,,,,,,,,,,,,,
"Who is they and why? Who does it benefit and how? Sounds like, cough cough, Bullshit to me",0,,,,,,,,,,,,,,,
And showing your disrespect for others. Those masks don’t protect the wearer from others they protect others from the wearer. They are a cough shield. The only way for them to be fully effective is for everyone to wear one.,0,,,,,,,,,,,,,,,
NE reopened first because it's mostly Caucasian there that don't cough on everybody like trumps unemployment #s,,,,,,,,,,,,,,,,
“need to stop sucking dick and cough up some lyrics”,0,,,,,,,,,,,,,,,
Most likely allergies my kids all flared up a couple days ago also they say wearing the mask can cause cough and such due to dryness,4,,,,,,,,,,,,,,,
pic.twitter.com/8XTIzdXtZa,0,,,,,,,,,,,,,,,
Hi @Busiegh. Stay safe out there. Keep at least one (1) meter distance between yourself and anyone coughing and sneezing. The droplets from a sneeze or cough cannot travel that far in the air! Avoid touching people unnecessarily. This is called social distancing. pic.twitter.com/68sO4m5NJI,1,,,,,,,,,,,,,,,
Cough kill you there,3,,,,,,,,,,,,,,,
*cough cough* angel devil zompiggy that skeleton and memory,0,,,,,,,,,,,,,,,
Testing would tell you if a cough means it's okay to return to work or whether you need to quarantine,1,,,,,,,,,,,,,,,
People with coronna virus listen up you can be a villian if you go explore the whole world and cough on them OHHHHHHHHHHHHHHHH,0,,,,,,,,,,,,,,,
*coughs* now**,0,,,,,,,,,,,,,,,
This looks… familiar @GlassAnimals http://opensource.glassanimals.com/ *cough* http://poolside.fm *cough*,0,,,,,,,,,,,,,,,
I hope he keeps up the barefaced thing. Only tRump-GOP followers will follow his example anyway. Cough-cough. https://twitter.com/JSeulement2019/status/1255302425919000576 …,0,,,,,,,,,,,,,,,
"Me early Jan...body aches chills sweating but only 99.5 temp for 5 days. Best comparison of my lethargy would only relate to a temp at 102 for an adult, the exhaustion was over the top. Then the dry cough no sleep was the icing on the misery for about 3 weeks #MeToo",4,,,,,,,,,,,,,,,
Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on President Trump https://www.thegatewaypundit.com/2020/04/rhode-island-school-teacher-resigns-viral-tgp-report-offering-pay-someone-coronavirus-cough-president-trump/?utm_source=Twitter&utm_campaign=websitesharingbuttons … via @gatewaypundit,0,,,,,,,,,,,,,,,
People who break covid etiquette have a devil-may-cough attitude!,0,,,,,,,,,,,,,,,
At work at the store today a lady took her mask OFF to cough everywhere because she said she didn’t want to get her mask dirty...... (facepalming so hard),4,,,,,,,,,,,,,,,
Damn bro you got cor- *cough* Oh shit,0,,,,,,,,,,,,,,,
"You are wrong again! The mask are to protect those sick! If they cough, sneeze it stays in!",0,,,,,,,,,,,,,,,
"Now, if he catches it and coughs himself to death who wants to be the first one to say I told you so?",1,,,,,,,,,,,,,,,
She should be careful. Someone might cough on her. Seems like she isn’t a proud American. I’d say she should be kicked out. Trump forever!!!!,1,,,,,,,,,,,,,,,
