date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-04-29 18:03:32,Bo_Dubya,,0,0,0,"How reported #coronavirus deaths compare with deaths above normal. Numbers are from March 8 to April 11, 2020.pic.twitter.com/91QOZS2YDm",,,#coronavirus,1255558349384450051,https://twitter.com/Bo_Dubya/status/1255558349384450051
2020-04-29 18:03:32,susanicox,Ammallon,0,0,0,"",,,,1255558348755304450,https://twitter.com/susanicox/status/1255558348755304450
2020-04-29 18:03:32,PatriotsR1,WMUR9,0,0,0,"The Road map has silver lake closed the all state liquor stores open?",,,,1255558348424056832,https://twitter.com/PatriotsR1/status/1255558348424056832
2020-04-29 18:03:31,the_mjl,the_mjl,0,0,0,"3am, Martian time, Twitter: ::puff puff:: “threw all the infecteds out the airlock” ::puff puff:: “Problem solved!”",,,,1255558347539058691,https://twitter.com/the_mjl/status/1255558347539058691
2020-04-29 18:03:31,aaaamhim,,0,0,0,"$NSPX #BIOTECH GEM at BOTTOM. CRAZY HERE #Coronavirus $PHGRF $SPY $SPX $QQQ $IWM $EVSV $FB $WRFX $AAPL $NOUV $TSLA $VXX $WOGI $AMD $PURA $CRON $IQ $NFLX $AMZN $KALY $PTI $FTEG $PHK $DNAD $CLM $CRF $GIFX $LTSN $BYOC $GMER $SIRI $PLUG $ZNGA $FCEL $HBAN $ET $IR $SWN $NLY $RIGpic.twitter.com/1FzAQjKeyz",,,#BIOTECH #Coronavirus,1255558347371184128,https://twitter.com/aaaamhim/status/1255558347371184128
2020-04-29 18:03:31,Consortium_GSHR,,0,0,0,"As the international focus stays on #COVIDー19, #extractive projects continue to endanger #indigenous #women’s security in front of our eyes. Read more in “In Canada, Infrastructure Projects Are Endangering Indigenous Women and Children,” by @WPReview.https://www.worldpoliticsreview.com/articles/28698/in-canada-infrastructure-projects-are-endangering-indigenous-women-and-children …",,@WPReview,#COVIDー19 #extractive #indigenous #women,1255558344594591744,https://twitter.com/Consortium_GSHR/status/1255558344594591744
2020-04-29 18:03:30,boyjurassic,TheRightMelissa,0,0,0,"pic.twitter.com/O4uzKbyVLP",,,,1255558341276860417,https://twitter.com/boyjurassic/status/1255558341276860417
2020-04-29 18:03:30,TheYoungJurks,elonmusk,0,0,0,"You first",,,,1255558341037867015,https://twitter.com/TheYoungJurks/status/1255558341037867015
2020-04-29 18:03:29,RhinoTalk,,0,0,0,"4 #B2B brands reimagining the sales demo. https://bit.ly/2YgcwBp #marketing #virtualreality",,,#B2B #marketing #virtualreality,1255558338768785408,https://twitter.com/RhinoTalk/status/1255558338768785408
2020-04-29 18:03:29,TWlNSUNS,hagfish_slime,0,0,0,"this just in: lana del rey has ORGANS but thankfully she doesn’t let it get to her",,,,1255558338399678465,https://twitter.com/TWlNSUNS/status/1255558338399678465
2020-04-29 18:03:29,chloeobabyy,,0,0,0,"New to the selling scene so offers are: Pics: $2 each Short vid: $5 each #sellingpics #naughty #bigtits #sexy #freaky #cheapnudes #horny #slut",,,#sellingpics #naughty #bigtits #sexy #freaky #cheapnudes #horny #slut,1255558338034774018,https://twitter.com/chloeobabyy/status/1255558338034774018
2020-04-29 18:03:29,KChenette17,JWSbro,0,0,0,"Def. I take home more than I’m getting nvm the bar on top of it. Cap is tipped for those to nurses and 1st responders, but it’s driving me nuts seeing ppl complain or one girl wrote “I basically sign an invisible paper that says I’m willing to die to do my job” beat it sis",,,,1255558335971106823,https://twitter.com/KChenette17/status/1255558335971106823
2020-04-29 18:03:28,NGE_League,SultanxPepper,0,0,0,"It was also a very serious and honest comment. It is a true work of art. You literally took thevision of console Gaming and blended it into a logo. Something I have always wished a designer could do for me and still wish a designer can do for me when I rebrand. We will talk",,,,1255558334222082055,https://twitter.com/NGE_League/status/1255558334222082055
2020-04-29 18:03:28,VolatilityWiz,,0,0,0,"$ES algo stalemate so farpic.twitter.com/UzAGxIs4FY",,,,1255558333735612417,https://twitter.com/VolatilityWiz/status/1255558333735612417
2020-04-29 18:03:28,DesimoneJoshua,ProducerBTW,0,0,0,"Return of the Joker. You know I never played it til last year when I hacked my NES classic? For some reason I had no interest in Batman games as a kid and I can’t believe how good that game still is. The music was pretty damn sick too at times.",,,,1255558332510846979,https://twitter.com/DesimoneJoshua/status/1255558332510846979
2020-04-29 18:03:28,hrk4kamala,npfandos,0,0,0,"who is Bill Foster?",,,,1255558332204679168,https://twitter.com/hrk4kamala/status/1255558332204679168
2020-04-29 18:03:27,JimmyFunGuy9,TrumpWarRoom,0,0,1,"On behalf of all the sane citizens in the United States, we apologize for donald j. trump's existence.",,,,1255558330040365056,https://twitter.com/JimmyFunGuy9/status/1255558330040365056
2020-04-29 18:03:27,kdriley05,Loucifer_III,0,0,0,"pic.twitter.com/wlnulBmx63",,,,1255558329826492416,https://twitter.com/kdriley05/status/1255558329826492416
2020-04-29 18:03:26,indykeah,,0,0,0,"i just want to live with a friend and milla and we smoke weed on the couch together sometimes",,,,1255558325346934785,https://twitter.com/indykeah/status/1255558325346934785
2020-04-29 18:03:26,CraigGoedecke,,0,0,0,"Check out this item in my Etsy shophttps://www.etsy.com/listing/180296722/baptism-christening-centerpiece …",,,,1255558325304991744,https://twitter.com/CraigGoedecke/status/1255558325304991744
